"date"	"pr.87544"	"pr.87448"	"pr.87453"	"pr.87534"	"pr.87468"	"pr.87484"	"pr.87537"	"pr.87548"	"pr.87532"	"pr.87540"	"pr.87550"	"pr.87616"	"pr.87623"	"pr.87624"	"pr.87637"	"pr.87640"	"pr.87679"
1961-01-01	1.2	0.6	0.3	6.4	NA	1.7	NA	7	0.6	3.2	7.6	0	0	2.5	10.2	NA	6.9
1961-01-02	0	23.9	9.3	6.4	NA	3.7	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-03	0	0	0	0	NA	0	NA	0	0	0	0	0	13	0	0	NA	0
1961-01-04	0	6	24.4	57	NA	0	NA	0	15.4	2.2	0	16	0	6	0	NA	0
1961-01-05	0	0	0	0	NA	6.2	NA	0	0	2.5	0.6	0	0	0	0	NA	0
1961-01-06	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-07	0	6.7	0	11	NA	0	NA	0	32.6	9.5	0	5.1	12.8	36	12.6	NA	7
1961-01-08	0	0	0	0	NA	0	NA	0	0	0	0	44	27.5	10.8	0	NA	2
1961-01-09	29.3	0	1.7	5.4	NA	0	NA	20.9	16	13.7	30.5	0	0.3	7.5	36	NA	31
1961-01-10	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-11	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-12	7.4	0	0.1	0	NA	21.2	NA	0.3	27.7	13.8	7.6	0	0	0	4.5	NA	0
1961-01-13	15.6	1	16.1	2.3	NA	46.6	NA	39.7	7	3.6	70	0	0	0	0	NA	0
1961-01-14	0	0	0	0	NA	6.6	NA	0	0.4	0	3.5	0	10	6.3	2	NA	3.7
1961-01-15	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-16	16.2	9	0	0	NA	11.5	NA	5.2	0	6.8	22.5	0	0	0	2.5	NA	0
1961-01-17	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-18	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-19	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	15.5	NA	34.9
1961-01-20	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-21	0	0	0	0	NA	0	NA	0	0	0	0.3	0	0	0	0	NA	0
1961-01-22	0	0	0	1	NA	0	NA	0	9	0	0	12.6	30.4	1	0	NA	4.4
1961-01-23	0	0	3	1.4	NA	10.2	NA	1.6	0	0	0	0	0	0	0	NA	0
1961-01-24	0	32.2	40.3	6.6	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-25	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-26	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-27	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-28	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-01-29	0	0	0	0	NA	0	NA	0	1.6	0.2	0	5.4	5.5	11.5	5.2	NA	1.8
1961-01-30	13.2	4.5	26	0	NA	0	NA	53.5	2.6	4.3	27.8	0	0	0	0	NA	0
1961-01-31	1.6	0	2	0	NA	0	NA	26.8	0.6	0.2	4.5	0	0.5	0	0	NA	0
1961-02-01	15.7	0.3	2	0	NA	0.8	NA	7.3	9.5	7.5	53	18.4	2.2	2	1.8	NA	0
1961-02-02	0	0	0	0	NA	0	NA	0	0	0	0	8.4	0.3	0	0	NA	0
1961-02-03	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-04	0	3.6	8	0	NA	0	NA	0	0	0	0	0	0	0	1.1	NA	10.6
1961-02-05	15.5	0.8	0	5.7	NA	6.7	NA	0	0.4	10.5	0	0	0.1	0	2.3	NA	7.7
1961-02-06	0	7.6	9.5	0	NA	0	NA	0.1	0	0	0	0	0	0	0.4	NA	0
1961-02-07	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-08	13	0	0.9	6	NA	0	NA	0	38.7	22.5	1	24.3	0	10.8	10.1	NA	36.6
1961-02-09	17.4	3.8	0	27.8	NA	44	NA	5.2	3.2	4.4	22.2	4.8	19.1	6.6	3.4	NA	0
1961-02-10	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-11	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-12	0	0.2	1	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-13	0	0	3.7	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-14	0	3.7	1	2.8	NA	0	NA	0	0	1	0	0	0	0	0	NA	0
1961-02-15	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-16	15.5	0	0	6.7	NA	0	NA	0	1.4	18.3	2.5	4.5	0	16.6	29.8	NA	8.9
1961-02-17	0	0.7	21.3	30	NA	15.2	NA	16.6	0.4	0	21.5	6	15	1	0	NA	0
1961-02-18	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-19	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-20	0	0	0	0	NA	0	NA	0	25.6	19.6	0	1	0	0.5	0.5	NA	0
1961-02-21	7.6	5	53.9	34.3	NA	35.2	NA	32	2	2	23.8	0.2	0	1.9	0	NA	0
1961-02-22	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	NA	0
1961-02-23	0	0	0	0	NA	0	NA	0	0.2	0	0	0	0	0	0	NA	0
1961-02-24	21.4	0	0	1	NA	1.3	NA	12.8	2.7	10.6	21.5	9	12.3	11.6	16.1	NA	9.2
1961-02-25	0.4	0	0	0	NA	1.2	NA	0	0.4	0	0	0	0	0	0	NA	0
1961-02-26	0	0	0.6	0	NA	0.3	NA	0	0	0	0.1	0	0	0	0	NA	0
1961-02-27	0	0	0.5	0	NA	0.9	NA	6.6	0	0	0.3	0	0	0	0	NA	0
1961-02-28	0	0	0	5.7	NA	0	NA	2.9	0	0	0	0	0	0	0	NA	0
1961-03-01	0	0	0	0	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-02	0	0	0	16.3	NA	0	NA	0	0	0	0.4	0	0	0	8.7	0	0
1961-03-03	0	0	12.1	0	NA	0	NA	0.4	0	0	0.2	0	0	0	0	0	0
1961-03-04	0	8.9	39	3.2	NA	0	NA	0	0	0	0	0	0	0	0	0	0
1961-03-05	0	2.9	13.4	0	NA	0	NA	0	0	0	0	0.4	0	0	0	0	0
