"","date","station_id","tmax","tmin","prcp"
"1",1970-01-01,90000002,34.1,22.5,0
"2",1970-01-02,90000002,34.2,23.1,2.2
"3",1970-01-03,90000002,29.2,21.5,2
"4",1970-01-04,90000002,28,20,0
"5",1970-01-05,90000002,37,21.6,28
"6",1970-01-06,90000002,28.7,19.2,0
"7",1970-01-07,90000002,30.2,16.7,11.3
"8",1970-01-08,90000002,26.7,19.3,0.2
"9",1970-01-09,90000002,23.2,16.7,0
"10",1970-01-10,90000002,21.3,10.5,0
"11",1970-01-11,90000002,25.5,11.5,0
"12",1970-01-12,90000002,29.9,15.1,0
"13",1970-01-13,90000002,27.1,19.6,0
"14",1970-01-14,90000002,25.1,15,0
"15",1970-01-15,90000002,25.1,12.4,0
"16",1970-01-16,90000002,28.2,14.1,0
"17",1970-01-17,90000002,31.9,16.1,0
"18",1970-01-18,90000002,32.6,18.1,0
"19",1970-01-19,90000002,34.3,21.3,0
"20",1970-01-20,90000002,32,18.6,0
"21",1970-01-21,90000002,32.6,19.9,0
"22",1970-01-22,90000002,31.7,18.8,0
"23",1970-01-23,90000002,33.6,18.2,9.6
"24",1970-01-24,90000002,25.2,17.9,3
"25",1970-01-25,90000002,26.2,17.8,0
"26",1970-01-26,90000002,24.2,15.7,1.8
"27",1970-01-27,90000002,25.7,14.7,0
"28",1970-01-28,90000002,28.7,17.8,0.3
"29",1970-01-29,90000002,30,18.1,0
"30",1970-01-30,90000002,34,17.5,0
"31",1970-01-31,90000002,32.9,20.3,0
"32",1970-02-01,90000002,37.4,22,14.3
"33",1970-02-02,90000002,29,21.1,0.4
"34",1970-02-03,90000002,27.9,19.2,0
"35",1970-02-04,90000002,30.1,16.6,0
"36",1970-02-05,90000002,24,15.9,10.8
"37",1970-02-06,90000002,19.1,14.5,1.6
"38",1970-02-07,90000002,20.2,12.7,0
"39",1970-02-08,90000002,27.8,14,0.5
"40",1970-02-09,90000002,27.4,17.1,0
"41",1970-02-10,90000002,33.2,16.4,0
"42",1970-02-11,90000002,34.6,19.9,0
"43",1970-02-12,90000002,33.2,20.7,0
"44",1970-02-13,90000002,31.3,19.3,0
"45",1970-02-14,90000002,33.3,17.6,0
"46",1970-02-15,90000002,32.7,17.4,0
"47",1970-02-16,90000002,32.5,21.6,0.1
"48",1970-02-17,90000002,30.5,21.6,0
"49",1970-02-18,90000002,29.9,20,0
"50",1970-02-19,90000002,31.1,17.1,0
"51",1970-02-20,90000002,31.6,19.5,0
"52",1970-02-21,90000002,30,17.1,0
"53",1970-02-22,90000002,30.2,14.5,0
"54",1970-02-23,90000002,33.9,17,0
"55",1970-02-24,90000002,34.7,17.8,0
"56",1970-02-25,90000002,35.7,20,0
"57",1970-02-26,90000002,36.6,24.5,0
"58",1970-02-27,90000002,38.2,25.1,9.2
"59",1970-02-28,90000002,23,16.7,1.2
"60",1970-03-01,90000002,30.5,17.3,0
"61",1970-03-02,90000002,36,22.8,0
"62",1970-03-03,90000002,34.1,24,0
"63",1970-03-04,90000002,31.8,20.9,0
"64",1970-03-05,90000002,35.4,17.1,0
"65",1970-03-06,90000002,36.1,21.5,2.8
"66",1970-03-07,90000002,32.5,20,0
"67",1970-03-08,90000002,22.8,15.4,0
"68",1970-03-09,90000002,31.7,14,25.4
"69",1970-03-10,90000002,24.9,16.1,0
"70",1970-03-11,90000002,25.2,13.9,0
"71",1970-03-12,90000002,19.5,12.5,0
"72",1970-03-13,90000002,21.8,10.7,0.6
"73",1970-03-14,90000002,24.7,13.7,0
"74",1970-03-15,90000002,18.8,16.2,27.1
"75",1970-03-16,90000002,18.6,14,6.7
"76",1970-03-17,90000002,19.6,13.1,0
"77",1970-03-18,90000002,23.4,10.7,0
"78",1970-03-19,90000002,25.2,11.7,0
"79",1970-03-20,90000002,27.7,13.5,0
"80",1970-03-21,90000002,28.5,17.6,0
"81",1970-03-22,90000002,32.2,18.2,17
"82",1970-03-23,90000002,20.2,17.6,4.7
"83",1970-03-24,90000002,21.6,14.3,0
"84",1970-03-25,90000002,25.8,12.9,0
"85",1970-03-26,90000002,27.4,16,0
"86",1970-03-27,90000002,28.3,16.8,0
"87",1970-03-28,90000002,31.8,18.3,19.6
"88",1970-03-29,90000002,24.8,17.1,0
"89",1970-03-30,90000002,26.7,13.1,0
"90",1970-03-31,90000002,28.1,16,17.8
"91",1970-04-01,90000002,21.9,17.6,3.4
"92",1970-04-02,90000002,20.2,14.5,0
"93",1970-04-03,90000002,24.6,10.4,0
"94",1970-04-04,90000002,20.2,15.3,0.4
"95",1970-04-05,90000002,20.7,12.2,0
"96",1970-04-06,90000002,22.5,10.3,0
"97",1970-04-07,90000002,24.5,11.3,0
"98",1970-04-08,90000002,24.9,13.6,0
"99",1970-04-09,90000002,26.6,13.2,0
"100",1970-04-10,90000002,27.9,14.9,0
"101",1970-04-11,90000002,29.3,15.3,5.9
"102",1970-04-12,90000002,23.7,17.3,21.1
"103",1970-04-13,90000002,23.2,16.4,0
"104",1970-04-14,90000002,19.5,12.1,0
"105",1970-04-15,90000002,17.1,10.6,0
"106",1970-04-16,90000002,23.6,9.1,0
"107",1970-04-17,90000002,27.9,15.1,10.2
"108",1970-04-18,90000002,23.7,17.4,2.2
"109",1970-04-19,90000002,24.4,17.7,40
"110",1970-04-20,90000002,28.2,19.4,0
"111",1970-04-21,90000002,28.7,20,0
"112",1970-04-22,90000002,25.6,18,0
"113",1970-04-23,90000002,29.2,20.9,0
"114",1970-04-24,90000002,28.1,20,0
"115",1970-04-25,90000002,30.1,20.2,28.8
"116",1970-04-26,90000002,22.3,11.3,0
"117",1970-04-27,90000002,19.4,7.7,0
"118",1970-04-28,90000002,22.4,11.2,0
"119",1970-04-29,90000002,22.4,10.9,0
"120",1970-04-30,90000002,22.3,9.9,0
"121",1970-05-01,90000002,22,14.1,0
"122",1970-05-02,90000002,24.2,12.5,0
"123",1970-05-03,90000002,25.6,13.4,0
"124",1970-05-04,90000002,21.2,11,20.7
"125",1970-05-05,90000002,11.2,4.9,0
"126",1970-05-06,90000002,15.8,2.5,0
"127",1970-05-07,90000002,16.2,4.2,0
"128",1970-05-08,90000002,20.7,8.3,0
"129",1970-05-09,90000002,17.6,8.2,0
"130",1970-05-10,90000002,16.8,6.7,0
"131",1970-05-11,90000002,14.3,7.9,0
"132",1970-05-12,90000002,18.9,5.3,0
"133",1970-05-13,90000002,18.8,14.3,102
"134",1970-05-14,90000002,21,15.8,4.7
"135",1970-05-15,90000002,16.3,8.5,0
"136",1970-05-16,90000002,15.1,6.4,0
"137",1970-05-17,90000002,11.5,7.3,0
"138",1970-05-18,90000002,12,10,12
"139",1970-05-19,90000002,12.2,9,20.3
"140",1970-05-20,90000002,12.3,5.9,0
"141",1970-05-21,90000002,16.7,5.7,0
"142",1970-05-22,90000002,19.3,8.6,0
"143",1970-05-23,90000002,19.6,8.7,0
"144",1970-05-24,90000002,20.4,7.9,0
"145",1970-05-25,90000002,20.8,10.6,0
"146",1970-05-26,90000002,17.9,10,0
"147",1970-05-27,90000002,22,9.8,2.7
"148",1970-05-28,90000002,20.9,12.9,0
"149",1970-05-29,90000002,19.9,12.9,14.7
"150",1970-05-30,90000002,16.5,9.8,0
"151",1970-05-31,90000002,16.8,10,0
"152",1970-06-01,90000002,15.4,9.7,0
"153",1970-06-02,90000002,10.9,7.8,1.7
"154",1970-06-03,90000002,14.3,10.9,3
"155",1970-06-04,90000002,13.5,5.5,0
"156",1970-06-05,90000002,10,2.8,0
"157",1970-06-06,90000002,14,1.9,0
"158",1970-06-07,90000002,13.2,0.4,0
"159",1970-06-08,90000002,15.4,3.6,0
"160",1970-06-09,90000002,17.3,8.6,0
"161",1970-06-10,90000002,21.4,15.8,20.5
"162",1970-06-11,90000002,20.8,13.7,0
"163",1970-06-12,90000002,19.8,13.3,7.7
"164",1970-06-13,90000002,14.9,5.8,0
"165",1970-06-14,90000002,14.6,5.3,0
"166",1970-06-15,90000002,17.1,6,0
"167",1970-06-16,90000002,19.6,7.1,0
"168",1970-06-17,90000002,13.7,10.6,2
"169",1970-06-18,90000002,13.1,5.1,0
"170",1970-06-19,90000002,12.7,3.5,15.9
"171",1970-06-20,90000002,13.4,10.5,0.4
"172",1970-06-21,90000002,11,9.4,0.5
"173",1970-06-22,90000002,11.4,5.1,0.3
"174",1970-06-23,90000002,10.6,4.1,0
"175",1970-06-24,90000002,10.9,3,0
"176",1970-06-25,90000002,11.6,-0.1,0
"177",1970-06-26,90000002,12.2,3.2,0
"178",1970-06-27,90000002,13.1,6.2,0.7
"179",1970-06-28,90000002,10.1,4.2,0
"180",1970-06-29,90000002,12.4,0,0
"181",1970-06-30,90000002,6.8,0.3,0
"182",1970-07-01,90000002,7.6,-0.4,0
"183",1970-07-02,90000002,11,-1.3,0
"184",1970-07-03,90000002,12.8,3.5,0
"185",1970-07-04,90000002,12.4,5.3,0
"186",1970-07-05,90000002,11.2,3.9,0
"187",1970-07-06,90000002,9.6,3.8,0
"188",1970-07-07,90000002,12.8,0.3,0
"189",1970-07-08,90000002,14.8,2.4,0
"190",1970-07-09,90000002,15.8,4,0
"191",1970-07-10,90000002,16.3,2.5,0
"192",1970-07-11,90000002,10.7,3.2,0
"193",1970-07-12,90000002,12.2,-0.4,0
"194",1970-07-13,90000002,15,2.9,0.2
"195",1970-07-14,90000002,14,2.5,0
"196",1970-07-15,90000002,21,10.1,0
"197",1970-07-16,90000002,24.4,12.1,0
"198",1970-07-17,90000002,23,10.5,35.9
"199",1970-07-18,90000002,18.3,10.1,22.3
"200",1970-07-19,90000002,13.6,6.6,0.2
"201",1970-07-20,90000002,14.2,4.7,0
"202",1970-07-21,90000002,15.3,3.3,0
"203",1970-07-22,90000002,17.6,11.8,0
"204",1970-07-23,90000002,19.2,9.1,0
"205",1970-07-24,90000002,22.9,12.9,0
"206",1970-07-25,90000002,24,15.4,0
"207",1970-07-26,90000002,17.9,10.4,53.1
"208",1970-07-27,90000002,12.6,6.8,0
"209",1970-07-28,90000002,14.8,5,0
"210",1970-07-29,90000002,12.4,7.6,5.1
"211",1970-07-30,90000002,14,3.9,0
"212",1970-07-31,90000002,19.7,6.3,0
"213",1970-08-01,90000002,25.2,12.2,11.5
"214",1970-08-02,90000002,23.9,12.6,0
"215",1970-08-03,90000002,12.3,9.8,2.7
"216",1970-08-04,90000002,10.4,8.2,0
"217",1970-08-05,90000002,14.5,8.1,0
"218",1970-08-06,90000002,12.1,9.1,47.4
"219",1970-08-07,90000002,10.8,6.1,0
"220",1970-08-08,90000002,10,3.5,0
"221",1970-08-09,90000002,14.1,1.3,0
"222",1970-08-10,90000002,14.4,2.5,0
"223",1970-08-11,90000002,20,7.9,0
"224",1970-08-12,90000002,20.2,10,0
"225",1970-08-13,90000002,15.3,7,0
"226",1970-08-14,90000002,17.1,4.3,0
"227",1970-08-15,90000002,19.1,7.6,0
"228",1970-08-16,90000002,22.2,8.8,0
"229",1970-08-17,90000002,26.1,15.3,0
"230",1970-08-18,90000002,24.6,16,0
"231",1970-08-19,90000002,25,10.3,5.8
"232",1970-08-20,90000002,13.2,6.4,0
"233",1970-08-21,90000002,17.3,2.9,0
"234",1970-08-22,90000002,17,2,0
"235",1970-08-23,90000002,16.9,4,0
"236",1970-08-24,90000002,16.1,2.7,0
"237",1970-08-25,90000002,9.4,1.1,0
"238",1970-08-26,90000002,11.5,1.8,0
"239",1970-08-27,90000002,12.1,-0.1,0
"240",1970-08-28,90000002,14.4,8.3,0
"241",1970-08-29,90000002,13.8,8.2,0
